EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,COMMISSION_PCT,MANAGER_ID,DEPARTMENT_ID
198,Donald,OConnell,DOCONNEL,650.507.9833,21-Jun-07,SH_CLERK,2600,,124,50
199,Douglas,Grant,DGRANT,650.507.9844,13-Jan-08,SH_CLERK,2600,,124,50
200,Jennifer,Whalen,JWHALEN,515.123.4444,17-Sep-03,AD_ASST,4400,90,101,10
,,,,,,,,,,
202,Pat,Fay,,603.123.6666,17-Aug-05,MK_REP,6000,,201,20
203,Susan,Mavris,SMAVRIS,515.123.7777,07-Jun-02,HR_REP,6500,,101,40
198,Donald,OConnell,DOCONNEL,650.507.9833,21-Jun-07,SH_CLERK,2600,,,50
199,Douglas,Grant,DGRANT,650.507.9844,13-Jan-08,SH_CLERK,2600,,124,50
200,Jennifer,Whalen,JWHALEN,515.123.4444,17-Sep-03,AD_ASST,4400,,101,10
201,Michael,Hartstein,MHARTSTE,515.123.5555,17-Feb-04,MK_MAN,13000,,100,20
202,Pat,Fay,PFAY,603.123.6666,17-Aug-05,MK_REP,6000,,201,20
102,Lex,De Haan,LDEHAAN,515.123.4569,13-Jan-01,AD_VP,17000,54,100,90
103,Alexander,Hunold,AHUNOLD,590.423.4567,03-Jan-06,IT_PROG,9000,,102,60
104,Bruce,Ernst,,590.423.4568,21-May-07,IT_PROG,6000,,103,60
105,David,Austin,DAUSTIN,590.423.4569,25-Jun-05,IT_PROG,4800,,,60
,,,,,,,,,,
107,Diana,Lorentz,DLORENTZ,590.423.5567,07-Feb-07,IT_PROG,4200,,103,60
108,Nancy,Greenberg,NGREENBE,515.124.4569,17-Aug-02,FI_MGR,12008,,101,100
198,Donald,OConnell,DOCONNEL,650.507.9833,21-Jun-07,SH_CLERK,2600,61,124,50
199,Douglas,Grant,DGRANT,650.507.9844,13-Jan-08,SH_CLERK,2600,,124,50
200,Jennifer,Whalen,JWHALEN,515.123.4444,17-Sep-03,AD_ASST,4400,,101,10
201,Michael,Hartstein,MHARTSTE,515.123.5555,17-Feb-04,MK_MAN,13000,,,20
202,Pat,Fay,PFAY,603.123.6666,17-Aug-05,MK_REP,6000,,201,20
203,Susan,Mavris,,515.123.7777,07-Jun-02,HR_REP,6500,,101,40
198,Donald,OConnell,DOCONNEL,650.507.9833,21-Jun-07,SH_CLERK,2600,,124,50
116,Shelli,Baida,SBAIDA,515.127.4563,24-Dec-05,PU_CLERK,2900,43,114,30
105,David,Austin,DAUSTIN,590.423.4569,25-Jun-05,IT_PROG,4800,,103,60
106,Valli,Pataballa,VPATABAL,590.423.4560,05-Feb-06,IT_PROG,4800,,103,60
107,Diana,Lorentz,DLORENTZ,590.423.5567,07-Feb-07,IT_PROG,4200,,103,60
108,Nancy,Greenberg,NGREENBE,515.124.4569,17-Aug-02,FI_MGR,12008,,101,100
,,,,,,,,,,
122,Payam,Kaufling,PKAUFLIN,650.123.3234,01-May-03,ST_MAN,7900,45,,50
123,Shanta,Vollman,SVOLLMAN,650.123.4234,10-Oct-05,ST_MAN,6500,,100,50
124,Kevin,Mourgos,,650.123.5234,16-Nov-07,ST_MAN,5800,,100,50
125,Julia,Nayer,JNAYER,650.124.1214,16-Jul-05,ST_CLERK,3200,,120,50
126,Irene,Mikkilineni,IMIKKILI,650.124.1224,28-Sep-06,ST_CLERK,2700,,120,50
127,James,Landry,JLANDRY,650.124.1334,14-Jan-07,ST_CLERK,2400,,120,50
105,David,Austin,DAUSTIN,590.423.4569,25-Jun-05,IT_PROG,4800,,103,60
106,Valli,Pataballa,VPATABAL,590.423.4560,05-Feb-06,IT_PROG,4800,40,103,60
107,Diana,Lorentz,DLORENTZ,590.423.5567,07-Feb-07,IT_PROG,4200,,103,60
108,Nancy,Greenberg,NGREENBE,515.124.4569,17-Aug-02,FI_MGR,12008,,101,100
121,Adam,Fripp,AFRIPP,650.123.2234,10-Apr-05,ST_MAN,8200,,100,50
122,Payam,Kaufling,,650.123.3234,01-May-03,ST_MAN,7900,,100,50
123,Shanta,Vollman,SVOLLMAN,650.123.4234,10-Oct-05,ST_MAN,6500,,100,50
124,Kevin,Mourgos,KMOURGOS,650.123.5234,16-Nov-07,ST_MAN,5800,,100,50
,,,,,,,,,,
126,Irene,Mikkilineni,IMIKKILI,650.124.1224,28-Sep-06,ST_CLERK,2700,50,120,50
138,Stephen,Stiles,SSTILES,650.121.2034,26-Oct-05,ST_CLERK,3200,,123,50
139,John,Seo,JSEO,650.121.2019,12-Feb-06,ST_CLERK,2700,,123,50
140,Joshua,Patel,JPATEL,650.121.1834,06-Apr-06,ST_CLERK,2500,,123,50
123,Shanta,Vollman,SVOLLMAN,650.123.4234,10-Oct-05,ST_MAN,6500,,100,50
124,Kevin,Mourgos,KMOURGOS,650.123.5234,16-Nov-07,ST_MAN,5800,,100,50
125,Julia,Nayer,JNAYER,650.124.1214,16-Jul-05,ST_CLERK,3200,10,120,50
126,Irene,Mikkilineni,IMIKKILI,650.124.1224,28-Sep-06,ST_CLERK,2700,,120,50
,,,,,,,,,,
